Year,Month,Day,Lat,Lon,Depth,Bottom_temp,Bottom_sal,Bottom_DO,Surface_temp,Surface_sal,Surface_DO,pH,Data_source
1996,7,17,29.292,-83.206333,3.7,29.8,28,5.5,NA,NA,NA,8.3,FWC
1996,7,17,29.272833,-83.222167,4.2,29.9,31.6,6,NA,NA,NA,8.4,FWC
1996,7,18,29.173,-82.9645,0.3,32.4,21.1,6.9,NA,NA,NA,8.1,FWC
1996,7,18,29.125667,-83.069167,0.5,29.4,29.5,5.9,NA,NA,NA,8.3,FWC
1996,7,18,29.127,-83.066167,0.5,29.9,28.6,6.7,NA,NA,NA,8.4,FWC
1996,7,24,29.355667,-83.163333,0.3,30.3,13.9,5,NA,NA,NA,7.5,FWC
1996,7,24,29.2865,-83.123333,0.4,31,3.4,5.1,NA,NA,NA,7.4,FWC
1996,7,30,29.320333,-83.257,0.5,29.9,28.7,5.7,NA,NA,NA,8.1,FWC
1996,7,30,29.288333,-83.090667,0.5,29,2.9,4.4,NA,NA,NA,7.6,FWC
1996,7,30,29.275333,-83.081333,1,29.6,5.9,5.6,NA,NA,NA,7.7,FWC
1996,8,2,29.101333,-82.990667,0.2,29.3,30.4,5.6,NA,NA,NA,8.1,FWC
1996,8,2,29.0615,-83.029167,0.2,29.4,30.2,5.8,NA,NA,NA,8.2,FWC
1996,8,2,29.101333,-82.990667,2.5,29.3,30.4,5.3,NA,NA,NA,8.2,FWC
1996,8,2,29.0615,-83.029167,3.9,29.4,30.4,5.6,NA,NA,NA,8.2,FWC
1996,8,5,29.117667,-82.998,0.2,28.3,30.4,5.7,NA,NA,NA,8.2,FWC
1996,8,5,29.067,-82.960167,0.2,28.7,26.9,6,NA,NA,NA,8.1,FWC
1996,8,5,29.058833,-83.008167,0.2,28.8,30.3,5.8,NA,NA,NA,8.2,FWC
1996,8,5,29.020333,-83.061,0.2,29.5,30.2,6,NA,NA,NA,8.2,FWC
1996,8,5,29.025333,-83.100833,0.2,29.7,30.8,6,NA,NA,NA,8.2,FWC
1996,8,5,29.089,-83.141167,0.2,29.9,31.4,6.2,NA,NA,NA,8.2,FWC
