"","Date","Month","Start.time","End.time","Locality","Site","Bar","Station","Counter","TransLngth","Cnt_Live","Cnt_Dead","Replicate","Treatment","Location","Substation"
"166",2010-08-08,"August","18:48","19:00","CK","N","3","CKN3","LAURA",7.5,79,"NA","1","control",NA,"CKN3"
"167",2010-08-08,"August","18:48","19:00","CK","N","3","CKN3","LAURA",10,320,"NA","1","control",NA,"CKN3"
"168",2010-08-08,"August","18:48","19:00","CK","N","3","CKN3","LAURA",12.5,184,"NA","1","control",NA,"CKN3"
"169",2010-08-08,"August","18:48","19:00","CK","N","3","CKN3","LAURA",15,202,"NA","1","control",NA,"CKN3"
"170",2010-08-08,"August","18:48","19:00","CK","N","3","CKN3","LAURA",17.5,138,"NA","1","control",NA,"CKN3"
"171",2010-05-27,"May","17:09","17:26","CK","O","1","CKO1","GERALD",2.5,0,"NA","1","control",NA,"CKO1"
"172",2010-05-27,"May","17:09","17:26","CK","O","1","CKO1","GERALD",5,1,"NA","1","control",NA,"CKO1"
"173",2010-05-27,"May","17:09","17:26","CK","O","1","CKO1","GERALD",7.5,4,"NA","1","control",NA,"CKO1"
"174",2010-05-27,"May","17:09","17:26","CK","O","1","CKO1","GERALD",10,0,"NA","1","control",NA,"CKO1"
"175",2010-05-27,"May","17:09","17:26","CK","O","1","CKO1","GERALD",12.5,0,"NA","1","control",NA,"CKO1"
"176",2010-05-27,"May","17:09","17:26","CK","O","1","CKO1","GERALD",15,4,"NA","1","control",NA,"CKO1"
"177",2010-05-27,"May","17:09","17:26","CK","O","1","CKO1","GERALD",17.5,20,"NA","1","control",NA,"CKO1"
"178",2010-05-27,"May","17:09","17:26","CK","O","1","CKO1","GERALD",20,21,"NA","1","control",NA,"CKO1"
"179",2010-05-27,"May","17:09","17:26","CK","O","1","CKO1","GERALD",22.5,4,"NA","1","control",NA,"CKO1"
"180",2010-05-27,"May","17:09","17:26","CK","O","1","CKO1","GERALD",23.2,0,"NA","1","control",NA,"CKO1"
"181",2010-05-27,"May","17:30","17:51","CK","O","2","CKO2","GERALD",2.5,0,"NA","1","control",NA,"CKO2"
"182",2010-05-27,"May","17:30","17:51","CK","O","2","CKO2","GERALD",5,7,"NA","1","control",NA,"CKO2"
"183",2010-05-27,"May","17:30","17:51","CK","O","2","CKO2","GERALD",7.5,0,"NA","1","control",NA,"CKO2"
"184",2010-05-27,"May","17:30","17:51","CK","O","2","CKO2","GERALD",10,0,"NA","1","control",NA,"CKO2"
"185",2010-05-27,"May","17:30","17:51","CK","O","2","CKO2","GERALD",12.5,13,"NA","1","control",NA,"CKO2"
"186",2010-05-27,"May","17:30","17:51","CK","O","2","CKO2","GERALD",15,3,"NA","1","control",NA,"CKO2"
"187",2010-05-27,"May","17:30","17:51","CK","O","2","CKO2","GERALD",17.5,3,"NA","1","control",NA,"CKO2"
"188",2010-05-27,"May","17:30","17:51","CK","O","2","CKO2","GERALD",20,0,"NA","1","control",NA,"CKO2"
"189",2010-05-27,"May","17:30","17:51","CK","O","2","CKO2","GERALD",22.5,0,"NA","1","control",NA,"CKO2"
"190",2010-05-27,"May","17:30","17:51","CK","O","2","CKO2","GERALD",25,0,"NA","1","control",NA,"CKO2"
"191",2010-05-27,"May","17:30","17:51","CK","O","2","CKO2","GERALD",25.7,0,"NA","1","control",NA,"CKO2"
"192",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",2.5,0,"NA","1","control",NA,"CKO3"
"193",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",5,0,"NA","1","control",NA,"CKO3"
"194",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",7.5,0,"NA","1","control",NA,"CKO3"
"195",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",10,31,"NA","1","control",NA,"CKO3"
"196",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",12.5,172,"NA","1","control",NA,"CKO3"
"197",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",15,10,"NA","1","control",NA,"CKO3"
"198",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",17.5,3,"NA","1","control",NA,"CKO3"
"199",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",20,5,"NA","1","control",NA,"CKO3"
"200",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",22.5,0,"NA","1","control",NA,"CKO3"
"201",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",25,5,"NA","1","control",NA,"CKO3"
"202",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",27.5,0,"NA","1","control",NA,"CKO3"
"203",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",30,0,"NA","1","control",NA,"CKO3"
"204",2010-05-27,"May","17:55","18:11","CK","O","3","CKO3","GERALD",33,0,"NA","1","control",NA,"CKO3"
"205",2010-07-09,"July","NA","NA","CK","O","1","CKO1","JERRY/LAURA",2.5,0,"NA","1","control",NA,"CKO1"
