date,site,recorder,transect number,distance along transect,distance from transect (m),live,,,,,,dead,,,,Live count over 100,,,,,dead count over 100,,
5/17/2015,LC01,Nick Fisch,3,5,2.5,59,65,60,60,50,44,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,3,5,2.5,49,40,42,47,35,46,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,3,7,2.5,52,59,34,78,62,63,,40,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,3,7,2.5,44,63,39,43,38,86,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,3,7,2.5,47,25,62,81,52,34,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,3,7,2.5,36,40,39,59,88,52,,43,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,3,7,2.5,35,22,33,29,42,,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,3,5,1,32,47,36,31,24,16,,,,,,,,,,9,,
5/17/2015,LC01,Nick Fisch,3,5,1,20,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,11,3.2,19,17,22,15,,,,64,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,15,3.7,28,23,20,21,,,,24,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,11,3.9,26,21,25,28,29,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,18,0.4,32,25,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,18,1.8,33,29,28,30,29,32,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,18,1.8,35,27,28,31,15,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,1,1.6,29,20,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,3,0.6,24,18,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,11,0.5,25,,,,,,,13,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,2,2.4,33,34,36,21,32,30,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,2,2.4,21,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,14,0.5,26,30,35,,,,,62,,,,26,,,,,,
5/17/2015,LC04,Nick Fisch,1,3,0.8,20,8,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,1,5,2.6,19,19,,,,,,,,,,,,,,2,,
5/17/2015,LC04,Nick Fisch,2,19,1.9,na,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,7,2.2,na,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,16,3.5,na,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,12,3.7,22,33,27,32,20,19,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,8,3.1,30,25,30,28,22,24,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,3,3.4,40,25,30,28,24,22,,24,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,14,0.1,30,30,24,22,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,16,1.9,28,24,22,20,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,9,3,25,6,7,,,,,20,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,2,0.5,21,,,,,,,24,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,18,0.3,50,42,16,15,28,,,18,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,19,0.8,35,25,22,43,34,35,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,17,0.8,32,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,19,3.7,na,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,12,3.9,na,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,19,1.8,65,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,2,14,1.5,37,33,,,,,,51,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,18,0.1,31,23,41,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,21,0.5,29,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,11,1.7,,,,,,,,27,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,9,3.3,21,20,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,17,1.8,40,29,26,36,27,21,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,6,0.1,na,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,5,0.5,na,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,18,3.7,na,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,17,1.8,22,24,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,15,1.5,25,22,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,10,4,34,36,24,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,0,0,na,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,9,0.2,24,46,,,,,,83,,,,78,,34,71,,,
5/17/2015,LC04,Nick Fisch,3,0,2.9,na,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,3,2.1,59,18,19,,,,,30,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,5,2.2,na,,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,18,3.8,31,21,26,21,,,,,,,,,,,,,,
