Date,Num,N,E,Elev,Transect,Element_id,Type
8/8/2018,265,1790035.86,304188.5825,-1.80231,1,13,GS ROCK
8/8/2018,266,1790036.559,304191.1379,-1.87761,1,13,GS ROCK
8/8/2018,267,1790038.193,304191.6881,-1.60963,1,13,GS ROCK
8/8/2018,268,1790038.805,304192.6098,-1.77775,1,13,GS ROCK
8/8/2018,269,1790039.69,304193.5784,-2.248,1,13,GS ROCK
8/8/2018,270,1790041.278,304195.1146,-2.0544,1,13,GS ROCK
8/8/2018,271,1790042.371,304196.6997,-2.82404,1,13,GS
8/8/2018,272,1790073.445,304137.5569,-2.95608,2,13,GS
8/8/2018,273,1790073.993,304138.9351,-2.11504,2,13,GS ROCK
8/8/2018,274,1790075.19,304139.7953,-2.09966,2,13,GS ROCK
8/8/2018,275,1790075.612,304140.2579,-2.01976,2,13,GS ROCK
8/8/2018,276,1790076.316,304141.2217,-2.02504,2,13,GS ROCK
