Number,X,Y,Elev,Transect,Element,Type
486,1794491.427,300249.902,-1.58,4,2,GS
487,1794489.284,300245.789,-1.167,4,2,ROCK TOP
488,1794477.404,300254.266,-1.829,5,2,GS
489,1794472.65,300249.116,-1.79,5,2,ROCK TOP
490,1794470.534,300246.636,-1.7,5,2,ROCK TOP
491,1794467.418,300243.355,-1.612,5,2,ROCK TOP
492,1794464.415,300240.531,-1.405,5,2,ROCK TOP
493,1794460.567,300236.511,-1.432,5,2,ROCK TOP
494,1794458.232,300234.21,-1.437,5,2,GS
495,1794463.952,300230.328,-1.135,5,2,GS
496,1794467.735,300233.536,-1.312,5,2,ROCK TOP
752,1794311.75,300321.63,-2.119,1,3,GS
753,1794311.906,300319.905,-1.359,1,3,ROCK TOP
754,1794309.71,300318.282,-1.595,1,3,ROCK TOP
755,1794307.636,300314.795,-1.654,1,3,ROCK TOP
756,1794305.826,300310.964,-1.622,1,3,ROCK TOP
757,1794306.071,300308.625,-1.524,1,3,ROCK TOP
758,1794304.604,300305.989,-1.574,1,3,ROCK TOP
759,1794304.071,300302.264,-1.512,1,3,ROCK TOP
760,1794303.057,300300.014,-1.36,1,3,ROCK TOP
761,1794300.95,300298.144,-1.51,1,3,ROCK TOP
762,1794299.437,300296.424,-1.405,1,3,ROCK TOP
763,1794297.751,300294.789,-1.386,1,3,ROCK TOP
764,1794295.913,300292.601,-1.732,1,3,ROCK TOP
765,1794295.318,300291.839,-1.904,1,3,GS
766,1794279.459,300301.332,-1.96,2,3,GS
767,1794279.806,300304.414,-1.756,2,3,ROCK TOP
768,1794281.079,300306.901,-1.709,2,3,ROCK TOP
769,1794281.563,300310.614,-1.747,2,3,ROCK TOP
770,1794283.445,300312.729,-1.627,2,3,ROCK TOP
771,1794284.026,300315.128,-1.704,2,3,ROCK TOP
772,1794285.799,300319.103,-1.477,2,3,ROCK TOP
773,1794286.569,300322.193,-1.679,2,3,ROCK TOP
774,1794287.704,300323.684,-1.455,2,3,ROCK TOP
775,1794289.565,300326.614,-1.399,2,3,ROCK TOP
776,1794290.491,300328.583,-2.364,2,3,GS
497,1794285.085,300333.084,-1.95,3,3,GS
498,1794283.647,300330.512,-2.143,3,3,GS
499,1794282.643,300329.472,-1.43,3,3,ROCK TOP
736,1794282.037,300328.1,-1.341,3,3,ROCK TOP
737,1794281.293,300326.698,-1.473,3,3,ROCK TOP
738,1794280.367,300324.533,-1.024,3,3,ROCK TOP
739,1794279.609,300322.096,-1.286,3,3,ROCK TOP
740,1794278.781,300319.442,-1.382,3,3,ROCK TOP
741,1794278.787,300317.605,-1.354,3,3,ROCK TOP
742,1794277.685,300315.077,-1.302,3,3,ROCK TOP
743,1794276.239,300312.172,-1.352,3,3,ROCK TOP
744,1794275.095,300311.453,-1.554,3,3,ROCK TOP
745,1794273.534,300310.094,-1.369,3,3,ROCK TOP
746,1794273.504,300308.031,-1.175,3,3,ROCK TOP
747,1794272.418,300305.59,-1.897,3,3,GS
748,1794271.497,300303.582,-1.927,3,3,GS
749,1794269.174,300306.704,-1.956,3,3,GS
750,1794270.159,300308.692,-1.432,3,3,ROCK TOP
751,1794236.636,300322.052,-2.297,4,3,GS
777,1794252.159,300346.087,-2.2,4,3,GS
778,1794252.283,300345.079,-1.617,4,3,ROCK TOP
779,1794249.664,300343.262,-1.517,4,3,ROCK TOP
780,1794248.846,300340.688,-1.567,4,3,ROCK TOP
781,1794247.194,300338.408,-1.619,4,3,ROCK TOP
